Date,Open_Shifted,Close,Close_Shifted
2024-03-14,172.14710231151471,172.37628173828125,170.5130157470703
2024-03-15,172.286609864896,171.99765014648438,172.37628173828125
2024-03-18,170.5528808562992,173.09368896484375,171.99765014648438
2024-03-19,174.93702524630143,175.44515991210938,173.09368896484375
2024-03-20,173.71142786519002,178.0258331298828,175.44515991210938
2024-03-21,175.08647190626633,170.7521514892578,178.0258331298828
2024-03-22,176.41168117904223,171.65887451171875,170.7521514892578
2024-03-25,171.14074502028382,170.23403930664062,171.65887451171875
2024-03-26,169.9550500090239,169.09814453125,170.23403930664062
2024-03-27,169.38709229314748,172.68516540527344,169.09814453125
2024-03-28,169.79562681694486,170.86175537109375,172.68516540527344
2024-04-01,171.1307861915964,169.41697692871094,170.86175537109375
2024-04-02,170.5727983430009,168.23126220703125,169.41697692871094
2024-04-03,168.4704023866532,169.03834533691406,168.23126220703125
2024-04-04,168.1814453345995,168.2113494873047,169.03834533691406
2024-04-05,169.676035612487,168.96861267089844,168.2113494873047
2024-04-08,168.97857114439864,167.84268188476562,168.96861267089844
2024-04-09,168.42059262733576,169.0582733154297,167.84268188476562
2024-04-10,168.09176931793073,167.1750946044922,169.0582733154297
2024-04-11,168.19142141332685,174.40892028808594,167.1750946044922
2024-04-12,167.73307888899373,175.91348266601562,174.40892028808594
2024-04-15,173.63173034934167,172.0673828125,175.91348266601562
2024-04-16,174.7277545222084,168.7693328857422,172.0673828125
2024-04-17,171.1307833718662,167.39430236816406,168.7693328857422
2024-04-18,168.99849837401,166.43775939941406,167.39430236816406
2024-04-19,167.42419559851692,164.40512084960938,166.43775939941406
2024-04-22,165.610765092168,165.24208068847656,164.40512084960938
2024-04-23,164.9232423149658,166.2982635498047,165.24208068847656
2024-04-24,164.75386398167788,168.41062927246094,166.2982635498047
2024-04-25,165.93955957507254,169.27749633789062,168.41062927246094
2024-04-26,168.91879363485126,168.6896209716797,169.27749633789062
2024-04-29,169.26753170576032,172.8744659423828,168.6896209716797
2024-04-30,172.74492977704497,169.71591186523438,172.8744659423828
2024-05-01,172.7050959791447,168.6896209716797,169.71591186523438
2024-05-02,168.96861026347364,172.4061737060547,168.6896209716797
2024-05-03,171.8880442050533,182.7188415527344,172.4061737060547
2024-05-06,185.9770408577792,181.0548858642578,182.7188415527344
2024-05-07,181.6925778578994,181.7423858642578,181.0548858642578
2024-05-08,182.78860333233249,182.08116149902344,181.7423858642578
2024-05-09,182.19076551728077,183.9045867919922,182.08116149902344
2024-05-10,181.90182360877463,182.63743591308597,183.9045867919922
2024-05-13,184.483257157066,185.86013793945312,182.63743591308597
2024-05-14,185.0220348889267,187.00755310058597,185.86013793945312
2024-05-15,187.0873746193062,189.2924041748047,187.00755310058597
2024-05-16,187.48648604697289,189.41212463378903,189.2924041748047
2024-05-17,190.04070957734743,189.44204711914065,189.41212463378903
2024-05-20,189.0828579141952,190.6094207763672,189.44204711914065
2024-05-21,188.90328335886423,191.91647338867188,190.6094207763672
2024-05-22,190.65930352654092,190.4697265625,191.91647338867188
2024-05-23,191.83664908760775,186.45880126953125,190.4697265625
2024-05-24,190.54955125962863,189.5518035888672,186.45880126953125
2024-05-28,188.3944296603675,189.5617828369141,189.5518035888672
2024-05-29,191.0783459138836,189.86111450195312,189.5617828369141
2024-05-30,189.18265440509,190.85885620117188,189.86111450195312
2024-05-31,190.33005195445256,191.81668090820312,190.85885620117188
2024-06-03,191.0085090318276,193.5926818847656,191.81668090820312
2024-06-04,192.46522387732944,193.91195678710935,193.5926818847656
2024-06-05,194.20129645164835,195.42852783203125,193.91195678710935
2024-06-06,194.95958593724887,194.0416717529297,195.42852783203125
2024-06-07,195.24895132280375,196.44622802734372,194.0416717529297
2024-06-10,194.2112712938544,192.68472290039065,196.44622802734372
2024-06-11,196.45620195884163,206.68310546875,192.68472290039065
2024-06-12,193.21353266624035,212.58978271484372,206.68310546875
2024-06-13,206.902617394007,213.75714111328125,212.58978271484372
2024-06-14,214.25601418934664,212.01107788085935,213.75714111328125
2024-06-17,213.36801320894725,216.18165588378903,212.01107788085935
2024-06-18,212.8890905531968,213.8070068359375,216.18165588378903
2024-06-20,217.09957203800775,209.2073974609375,213.8070068359375
2024-06-21,213.44781843702847,207.02235412597656,209.2073974609375
2024-06-24,209.91581187096148,207.6708831787109,207.02235412597656
2024-06-25,207.2518316223831,208.59878540039065,207.6708831787109
2024-06-26,208.67859169129048,212.7693634033203,208.59878540039065
2024-06-27,211.0233076661301,213.61746215820312,212.7693634033203
2024-06-28,214.2061287476001,210.1452789306641,213.61746215820312
2024-07-01,215.2836804856933,216.261474609375,210.1452789306641
2024-07-02,211.61197396968475,219.77354431152344,216.261474609375
2024-07-03,215.66281990345283,221.0506591796875,219.77354431152344
2024-07-05,219.50414962607877,225.8298492431641,221.0506591796875
2024-07-08,221.15041758535088,227.30653381347656,225.8298492431641
2024-07-09,226.57816816685516,228.16458129882807,227.30653381347656
2024-07-10,227.4162716895273,232.45489501953125,228.16458129882807
