Date,Close,High,Low,Open,Volume,Previous_Close,Close_Shifted,Open_Shifted,High_Shifted,Low_Shifted,RSI,SMA_50,EMA_20,MACD,MACD_signal,MACD_histogram,Signal
2024-03-14,172.37628173828125,173.68155635236576,171.4297098215142,172.286609864896,72913500,170.5130157470703,170.5130157470703,172.14710231151471,172.5655862263849,170.1443394000517,32.19009247490298,182.97989379882813,176.22154804885128,-3.92259770547372,-3.3370190955735963,-0.5855786099001237,-1
2024-03-15,171.99765014648438,171.99765014648438,169.6760486454164,170.5528808562992,121664700,172.37628173828125,172.37628173828125,172.286609864896,173.68155635236576,171.4297098215142,37.781090674917955,182.7327197265625,175.85533220974935,-3.739587417746975,-3.4175327600082723,-0.3220546577387027,-1
2024-03-18,173.09368896484375,177.06930930187292,172.89441306506424,174.93702524630143,75604200,171.99765014648438,171.99765014648438,170.5528808562992,171.99765014648438,169.6760486454164,37.11146670321601,182.50563751220704,175.48793391800984,-3.5837911379021534,-3.4507844355870487,-0.1330067023151047,-1
2024-03-19,175.44515991210938,175.97324782453558,172.4061533947111,173.71142786519002,55215200,173.09368896484375,173.09368896484375,174.93702524630143,177.06930930187292,172.89441306506424,40.404267336376776,182.34704772949217,175.25991058913687,-3.3334543047881766,-3.4273184094272744,0.09386410463909778,0
2024-03-20,178.0258331298828,178.0258331298828,174.45873840154812,175.08647190626633,53423100,175.44515991210938,175.44515991210938,173.71142786519002,175.97324782453558,172.4061533947111,46.83576220211179,182.25001678466796,175.27755338180089,-2.911751647098896,-3.324205056961599,0.41245340986270307,0
2024-03-21,170.7521514892578,176.8500972709565,170.22406352502733,176.41168117904223,106181300,178.0258331298828,178.0258331298828,175.08647190626633,178.0258331298828,174.45873840154812,52.84970458298416,182.11742614746095,175.53929431018963,-2.342309802225401,-3.12782600601436,0.7855162037889589,0
2024-03-22,171.65887451171875,172.42610267352754,169.44687710249696,171.14074502028382,71106600,170.7521514892578,170.7521514892578,176.41168117904223,176.8500972709565,170.22406352502733,39.34152516047044,181.84772094726563,175.08337594629137,-2.4497096295427525,-2.992202730720039,0.5424931011772864,0
2024-03-25,170.23403930664062,171.32010587263267,168.83907761478048,169.9550500090239,54288300,171.65887451171875,171.65887451171875,171.14074502028382,172.42610267352754,169.44687710249696,41.35385319406546,181.57525268554687,174.75723295252254,-2.433606693261254,-2.880483523228282,0.44687682996702804,0
2024-03-26,169.09814453125,170.80197088667242,168.96860836017046,169.38709229314748,57388400,170.23403930664062,170.23403930664062,169.9550500090239,171.32010587263267,168.83907761478048,39.15560891950465,181.28622924804688,174.32645260529569,-2.506919090673591,-2.805770636717344,0.29885154604375286,0
2024-03-27,172.68516540527344,172.97412838637234,169.4967053620682,169.79562681694486,60273300,169.09814453125,169.09814453125,169.38709229314748,170.80197088667242,168.96860836017046,37.446652011283504,180.967919921875,173.82851850300563,-2.6264013887836484,-2.769896787130605,0.14349539834695646,0
2024-03-28,170.86175537109375,171.60905138066403,169.8952513157474,171.1307861915964,65672700,172.68516540527344,172.68516540527344,169.79562681694486,172.97412838637234,169.4967053620682,45.53135689846629,180.76692779541017,173.71962773179303,-2.4039382604431694,-2.696705081793118,0.2927668213499488,0
2024-04-01,169.41697692871094,170.63257958791667,168.86895684402387,170.5727983430009,46240500,170.86175537109375,170.86175537109375,171.1307861915964,171.60905138066403,169.8952513157474,42.52272005389605,180.54837493896486,173.44744941172644,-2.347705689564606,-2.6269052033474156,0.2791995137828098,0
2024-04-02,168.23126220703125,168.7294595117456,167.62346088712874,168.4704023866532,49329500,169.41697692871094,169.41697692871094,170.5727983430009,170.63257958791667,168.86895684402387,40.25306564480529,180.18250610351564,173.0635948895345,-2.392147332404619,-2.5799536291588563,0.18780629675423732,0
2024-04-03,169.03834533691406,170.0646306043195,167.97221097339488,168.1814453345995,47691700,168.23126220703125,168.23126220703125,168.4704023866532,168.7294595117456,167.62346088712874,38.43971218004656,179.73460906982422,172.6033727292961,-2.494292274451425,-2.56282135821737,0.06852908376594513,0
2024-04-04,168.2113494873047,171.30016373186453,168.2113494873047,169.676035612487,53704400,169.03834533691406,169.03834533691406,168.1814453345995,170.0646306043195,167.97221097339488,40.40758589538511,179.2564810180664,172.26384631097397,-2.4815126799452685,-2.54655962256295,0.0650469426176814,0
2024-04-05,168.96861267089844,169.77568993392828,168.3408791535302,168.97857114439864,42055200,168.2113494873047,168.2113494873047,169.676035612487,171.30016373186453,168.2113494873047,39.03077742600413,178.73613891601562,171.8778942325293,-2.5091920092332316,-2.5390860998970064,0.029894090663774797,0
2024-04-08,167.84268188476562,168.58997789957206,167.6334475147346,168.42059262733576,37425500,168.96861267089844,168.96861267089844,168.97857114439864,169.77568993392828,168.3408791535302,41.012747039869375,178.24447570800783,171.60081979808825,-2.441874853611125,-2.5196438506398304,0.07776899702870521,0
2024-04-09,169.0582733154297,169.46679875844995,167.74304032326918,168.09176931793073,42451200,167.84268188476562,167.84268188476562,168.42059262733576,168.58997789957206,167.6334475147346,38.983580936192446,177.73686126708984,171.24290190158135,-2.4511236991985754,-2.5059398203515797,0.05481612115300427,0
2024-04-10,167.1750946044922,168.48036917466098,166.50751200767976,168.19142141332685,49709300,169.0582733154297,169.0582733154297,168.09176931793073,169.46679875844995,167.74304032326918,42.30264231155092,177.28838806152345,171.03484203623358,-2.333466655555185,-2.471445187392301,0.13797853183711606,0
2024-04-11,174.40892028808594,174.8274194382653,167.55373514215378,167.73307888899373,91070300,167.1750946044922,167.1750946044922,168.19142141332685,168.48036917466098,166.50751200767976,38.78299980009299,176.81598419189453,170.6672470427344,-2.3649180808602637,-2.4501397660858935,0.08522168522562978,0
2024-04-12,175.91348266601562,177.71695459263955,173.58192277868224,173.63173034934167,101593300,174.40892028808594,174.40892028808594,167.73307888899373,174.8274194382653,167.55373514215378,54.457913808860106,176.56169738769532,171.02359687562503,-1.7855515580535553,-2.317222124479426,0.5316705664258707,0
2024-04-15,172.0673828125,175.9931798985106,171.8780654093003,174.7277545222084,73531800,175.91348266601562,175.91348266601562,173.63173034934167,177.71695459263955,173.58192277868224,56.9282307489238,176.40994659423828,171.48930028423365,-1.1912616817398884,-2.0920300359315185,0.90076835419163,0
2024-04-16,168.7693328857422,173.13353117115574,167.6633342016507,171.1307833718662,73711200,172.0673828125,172.0673828125,174.7277545222084,175.9931798985106,171.8780654093003,49.53184872722296,176.13231353759767,171.54435576311616,-1.018885707908595,-1.8774011703269338,0.8585154624183389,0
