Date,Open,Open_Shifted,Close,Close_Shifted,RSI,SMA_50,EMA_20,MACD,Signal,Compound Sentiment
,AAPL,,AAPL,,,,,,,0.6369
2024-03-14,172.286609864896,172.14711771653415,172.37628173828125,170.51303100585938,32.190098767398496,182.9798928833008,176.2215486285312,-3.922596040204297,-1.0,0.0
2024-03-15,170.5528808562992,172.286609864896,171.99765014648438,172.37628173828125,37.78106336410929,182.73271911621092,175.85533273422166,-3.739586013346724,-1.0,0.0
2024-03-18,174.9370098250161,170.5528808562992,173.0936737060547,171.99765014648438,37.11143838214813,182.50563720703124,175.4879343925324,-3.583789953891141,-1.0,0.0
2024-03-19,173.7114580811964,174.9370098250161,175.4451904296875,173.0936737060547,40.404204020065215,182.34704711914063,175.2599095652488,-3.3334545241651483,0.0,0.6705
2024-03-20,175.08647190626633,173.7114580811964,178.0258331298828,175.4451904296875,46.83583372520038,182.250016784668,175.277555361862,-2.91174931182033,0.0,0.0
2024-03-21,176.41166541450514,175.08647190626633,170.75213623046875,178.0258331298828,52.84970726764818,182.11742614746092,175.5392961016735,-2.3423079264996147,0.0,0.296
2024-03-22,171.14072980755137,176.41166541450514,171.6588592529297,170.75213623046875,39.34148872566976,181.84772064208985,175.08337611393972,-2.449709352466556,0.0,0.0
2024-03-25,169.9550500090239,171.14072980755137,170.23403930664062,171.6588592529297,41.35381942205103,181.57525207519527,174.75723165098637,-2.4336076718458344,0.0,-0.128
2024-03-26,169.38709229314748,169.9550500090239,169.09814453125,170.23403930664062,39.15559772870657,181.28622833251956,174.32645142771534,-2.506919824660713,0.0,0.0
2024-03-27,169.79561181348092,169.38709229314748,172.68515014648438,169.09814453125,37.4466392603303,180.96791900634764,173.82851743757578,-2.6264019227701,0.0,0.4939
2024-03-28,171.13077090878156,169.79561181348092,170.8617401123047,172.68515014648438,45.53132428777201,180.76692657470704,173.7196253146147,-2.403939848873904,0.0,0.0
2024-04-01,170.5728137058907,171.13077090878156,169.4169921875,170.8617401123047,42.52268512032841,180.54837371826173,173.44744577153756,-2.347708086025108,0.0,0.0
2024-04-02,168.4704023866532,170.5728137058907,168.23126220703125,169.4169921875,40.2530747605766,180.18250518798828,173.06359304924823,-2.392147900176127,0.0,0.296
2024-04-03,168.18146051603773,168.4704023866532,169.03836059570312,168.23126220703125,38.43969420859416,179.73460815429686,172.60337106427522,-2.4942926202444085,0.0,0.0
2024-04-04,169.67605100414067,168.18146051603773,168.21136474609375,169.03836059570312,40.4076080234838,179.25648040771483,172.26384625774455,-2.481511630657451,0.0,0.0
2024-04-05,168.97857114439864,169.67605100414067,168.96861267089844,168.21136474609375,39.03079723212768,178.73613830566407,171.87789563758733,-2.5091898788911067,0.0,0.296
